,dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name,xs,l,w,h,lbs
11276,13 x 11.5 x 1 inches,1 pounds,http://www.amazon.com/TuffRider-Womens-Ventilated-Schooling-Tights/dp/B00HWUWOXW,34.95,104.0,Sports & Fitness,Sports & Outdoors,8646.0,TuffRider Women's Ventilated Schooling Tights  ,2,13,11.5,1,1.0
11295,12.5 x 10.5 x 1 inches,1 pounds,http://www.amazon.com/TuffRider-Womens-Starter-Pull-On-Breech/dp/B00FXK0GF6,26.36,162.0,Sports & Fitness,Sports & Outdoors,5261.0,TuffRider Women's Starter Low Rise Pull-On Breech,2,12.5,10.5,1,1.0
11301,1.8 x 1.5 x 4.5 inches,5.6 ounces,http://www.amazon.com/Durvet-Safeguard-Goat-Dewormer-125ml/dp/B000HHLVB8,22.92,152.0,Sports & Fitness,Sports & Outdoors,2318.0,"Durvet Safeguard Goat Dewormer, 125ml",2,1.8,1.5,4.5,0.35
11338,9 x 2 x 2 inches,8 ounces,http://www.amazon.com/Durvet-Ivermectin-Dewormer-Paste-Horses/dp/B00CNT6K6O,27.89,17.0,Sports & Fitness,Sports & Outdoors,6911.0,"Durvet Ivermectin Dewormer Paste for Horses, 6 Doses, 0.21 oz",2,9,2,2,0.5
11761,14 x 11.5 x 1 inches,1 pounds,http://www.amazon.com/TuffRider-Girls-Starter-Pull-On-Breech/dp/B00FNO8KXW,23.96,141.0,Sports & Fitness,Sports & Outdoors,2806.0,TuffRider Girl's Starter Low Rise Pull-On Jods Breech,2,14,11.5,1,1.0
11765,3 x 2 x 7 inches,13.6 ounces,http://www.amazon.com/Absorbine-Veterinary-Liniment-Gel-12-Ounce/dp/B000B6I54G,18.07,228.0,Sports & Fitness,Sports & Outdoors,1468.0,Absorbine Veterinary Liniment Gel,2,3,2,7,0.85
12355,14.2 x 4.2 x 8.5 inches,9.6 ounces,http://www.amazon.com/SportRack-Replacement-14-Inch-Kayak-Block/dp/B00BCLL4LA,23.13,22.0,Outdoor Recreation,Sports & Outdoors,9788.0,SportRack Replacement Foam 14-Inch Kayak Block,2,14.2,4.2,8.5,0.6
12363,7 x 4 x 2 inches,6.4 ounces,http://www.amazon.com/Yakima-Q-Clip-Set/dp/B000OYL3QM,39.65,215.0,Outdoor Recreation,Sports & Outdoors,9430.0,Yakima Q-Clip Set,2,7,4,2,0.4
12366,32 x 8 x 4 inches,12.8 ounces,http://www.amazon.com/Yakima-SUP-Aero-CrossBar-Pads/dp/B00PUPLQVW,28.0,50.0,Exterior Accessories,Automotive,8797.0,"Yakima SUP Aero CrossBar Pads - 30""",2,32,8,4,0.8
12550,7 x 4 x 1 inches,2.9 ounces,http://www.amazon.com/FINIS-1-05-120-Tempo-Trainer-Pro/dp/B005TVYVI2,36.53,144.0,Sports & Fitness,Sports & Outdoors,2365.0,Tempo Trainer Pro,2,7,4,1,0.18125
12591,16 x 9.8 x 0.2 inches,11.2 ounces,http://www.amazon.com/Kwik-Goal-18B301-Soccer-Clipboard/dp/B0026OF922,15.93,40.0,Sports & Fitness,Sports & Outdoors,8221.0,Kwik Goal Soccer Clipboard,2,16,9.8,0.2,0.7
12594,9 x 5.6 x 2 inches,0.3 ounces,http://www.amazon.com/Tide-1306989-Windsor-Electronic-Single-Tone/dp/B000RPVAVG,19.99,108.0,Sports & Fitness,Sports & Outdoors,7631.0,Windsor Electronic Whistle Single-Tone,2,9,5.6,2,0.01875
12599,2.2 x 0.6 x 1.7 inches,1.6 ounces,http://www.amazon.com/Gymboss-miniMAX-Interval-Timer-Stopwatch/dp/B00BR380O2,27.95,163.0,Sports & Fitness,Sports & Outdoors,6163.0,Gymboss miniMAX Interval Timer and Stopwatch - BLACK / YELLOW SOFTCOAT,2,2.2,0.6,1.7,0.1
12604,4.5 x 1.5 x 1.5 inches,0.6 ounces,http://www.amazon.com/Windsor-Three-Tone-Electronic-Whistle/dp/B0019MBJGW,20.52,76.0,Sports & Fitness,Sports & Outdoors,5500.0,Windsor Three Tone Electronic Whistle,2,4.5,1.5,1.5,0.0375
12605,4 x 1 x 5 inches,15.2 ounces,http://www.amazon.com/New-Champion-Sports-910SET-Water-Resistant-Stopwatches/dp/B004WPC9X0,39.57,3.0,Sports & Fitness,Sports & Outdoors,5411.0,"New-Champion Sports 910SET - Water-Resistant Stopwatches, 1/100 Second, Assorted Colors, 6/Set - CSI910SET",2,4,1,5,0.95
12852,1.5 x 6.2 x 8.2 inches,4 ounces,http://www.amazon.com/Wilton-415-0796-6-Piece-Bake-Strip/dp/B00C1LU8SA,19.99,145.0,Sports & Fitness,Sports & Outdoors,8130.0,Wilton 415-0796 6-Piece Bake Even Strip Set,2,1.5,6.2,8.2,0.25
12854,11 x 10 x 1 inches,1 pounds,http://www.amazon.com/Hot-Shapers-Womens-Capri-Pants/dp/B00CIJZ4P2,29.89,172.0,Women,"Clothing, Shoes & Jewelry",3387.0,Hot Shapers Womens Capri Hot Pants,2,11,10,1,1.0
