dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
,5 x 2 x 9 inches,http://www.amazon.com/99-5000-Aerosol-Recharger-Filter-Service/dp/B00029WYEY,$11.00,929,Replacement Parts,Automotive,35,K&N 99-5000 Aerosol Recharger Filter Care Service Kit
8 x 4 x 9 inches,1.8 pounds,http://www.amazon.com/Battery-Tender-021-0123-Junior-Charger/dp/B000CITK8S,$24.48,"4,627",Tools & Equipment,Automotive,23,Battery Tender 021-0123 Battery Tender Junior 12V Battery Charger
10 x 2 x 10 inches,1.6 ounces,http://www.amazon.com/CF10134-Fresh-Breeze-Cabin-Filter/dp/B0010E00T6,$15.20,962,Replacement Parts,Automotive,9,FRAM CF10134 Fresh Breeze Cabin Air Filter
5.5 x 2.8 x 0.4 inches,0.3 ounces,http://www.amazon.com/technext020-Non-Slip-Silicone-Protective-Dual-Layer/dp/B00SAU4S64,$7.99,551,Replacement Parts,Automotive,171,"iPhone 6 Case, technext020 Non-Slip Perfect Fit iPhone 6 (4.7) Case Hard Plastic Silicone Protective Case Rubber Bumper Slim Heavy Duty Dual-Layer Cover for iPhone 6 (4.7) (2014)"
8.4 x 4.3 x 4 inches,1.6 ounces,http://www.amazon.com/Motorcraft-FD-4616-Fuel-Filter/dp/B004A2IFII,$39.79,110,Replacement Parts,Automotive,307,Motorcraft FD-4616 Fuel Filter
7 x 5.5 x 1 inches,3.2 ounces,http://www.amazon.com/Battery-Tender-081-0069-8-Cigarette-Disconnect/dp/B0041CDPQO,$8.83,"1,160",Replacement Parts,Automotive,285,Battery Tender 081-0069-8 Female Cigarette Adaptor for Quick Disconnect
8.1 x 2.2 x 13.8 inches,1.1 pounds,http://www.amazon.com/Fram-CA9360-Extra-Guard-Filter/dp/B000A0CAJE,$10.32,218,Replacement Parts,Automotive,292,Fram CA9360 Extra Guard Rigid Panel Air Filter
25.1 x 2.7 x 1.2 inches,9.6 ounces,http://www.amazon.com/Bosch-22B-ICON-Wiper-Blade/dp/B005JU5YCU,$19.15,624,Replacement Parts,Automotive,324,"Bosch 22B ICON Wiper Blade - 22"" (Pack of 1)"
12.5 x 7.2 x 2 inches,8.8 ounces,http://www.amazon.com/Fram-CA10013-Extra-Guard-Filter/dp/B000PAM9KO,$10.26,160,Replacement Parts,Automotive,284,Fram CA10013 Extra Guard Rigid Panel Air Filter
2 x 3 x 26 inches,7.2 ounces,http://www.amazon.com/Rain-X-5079279-1-Latitude-Wiper-Blade/dp/B00FRHOMNM,$15.13,"1,064",Replacement Parts,Automotive,282,"Rain-X 5079279-1 Latitude Wiper Blade - 22"" (Pack of 1)"
10 x 9 x 1 inches,5 pounds,http://www.amazon.com/TYC-800003P-Honda-Replacement-Filter/dp/B000VKOD9S,$8.09,425,Replacement Parts,Automotive,281,TYC 800003P Honda Replacement Cabin Air Filter
2.4 x 0.7 x 29.9 inches,9.6 ounces,http://www.amazon.com/Rain-X-Weatherbeater-Wiper-Blade-Pack/dp/B0009JKI90,$12.28,"1,481",Replacement Parts,Automotive,261,"Rain-X Weatherbeater Wiper Blade, 26"" (Pack of 1)"
7.9 x 2.4 x 7.9 inches,3.3 pounds,http://www.amazon.com/Cartman-Heavy-Booster-Cables-listed/dp/B00F9RNIPI,$28.99,129,Replacement Parts,Automotive,252,Cartman Heavy Duty Booster Cables 4 gauge 20 Feet in Carry Bag UL listed (4 AWG x 20Ft)
6 x 2.5 x 4 inches,4.7 pounds,http://www.amazon.com/UPG-UB1280I-Sealed-Lead-Batteries/dp/B0009GIKNE,$16.99,383,Replacement Parts,Automotive,470,UPG UB1280I Sealed Lead Acid Batteries
2.4 x 0.7 x 26.7 inches,6.4 ounces,http://www.amazon.com/Rain-X-Weatherbeater-Wiper-Blade-Pack/dp/B0009JKI72,$9.06,"1,481",Replacement Parts,Automotive,240,"Rain-X Weatherbeater Wiper Blade, 20"" (Pack of 1)"
2.4 x 0.7 x 26.7 inches,7 ounces,http://www.amazon.com/Rain-X-Weatherbeater-Wiper-Blade-Pack/dp/B0009JKI8G,$8.15,"1,481",Replacement Parts,Automotive,269,"Rain-X Weatherbeater Wiper Blade, 24"" (Pack of 1)"
5 x 1.7 x 0.3 inches,0.8 ounces,http://www.amazon.com/Genuine-Toyota-Drain-Gaskets-90430-12031/dp/B007OW6MD6,$7.95,270,Replacement Parts,Automotive,228,Genuine Toyota - Oil Drain Plug Gaskets (QTY10) - 90430-12031
9 x 9 x 1.7 inches,2 pounds,http://www.amazon.com/Tangle-Battery-Booster-cables-travel/dp/B007TD1WIK,$12.36,159,Replacement Parts,Automotive,720,200 amp 10 gauge No Tangle Battery Booster cables 12 feet with FREE travel case Jumper Cables Extra long 12ft
2 x 3 x 30 inches,11.2 ounces,http://www.amazon.com/Rain-X-5079281-1-Latitude-Wiper-Blade/dp/B00FRHOO9O,$16.87,"1,064",Replacement Parts,Automotive,224,"Rain-X 5079281-1 Latitude Wiper Blade - 26"" (Pack of 1)"
7.5 x 0.8 x 5.1 inches,1.6 ounces,http://www.amazon.com/Leegoal-Panel-Dashboard-Dismantle-Installer/dp/B00D7XNQHG,$4.35,329,Replacement Parts,Automotive,384,Leegoal New Car Door Clip Panel Audio Video Dashboard Dismantle Kits Installer Pry Tool
10.5 x 2.5 x 10 inches,2 pounds,http://www.amazon.com/Antigravity-Batteries-AG-XP-10-USB/dp/B00MQ5Z5F2,$123.09,344,Replacement Parts,Automotive,210,Antigravity Batteries AG-XP-10 USB
5.5 x 1 x 5 inches,0.3 ounces,http://www.amazon.com/Battery-Tender-081-0158-Disconnect-Charger/dp/B00DJ5KEF4,$10.33,492,Replacement Parts,Automotive,189,Battery Tender 081-0158 Black Quick Disconnect Plug with USB Charger
2.4 x 0.7 x 26.7 inches,6.4 ounces,http://www.amazon.com/Rain-X-Weatherbeater-Wiper-Blade-Pack/dp/B0009JKI86,$8.66,"1,481",Replacement Parts,Automotive,198,"Rain-X Weatherbeater Wiper Blade, 22"" (Pack of 1)"
3.5 x 2.7 x 2 inches,0.8 ounces,http://www.amazon.com/Sealed-Battery-Charger-UPG-D1724/dp/B001G8AIMU,$9.66,400,Replacement Parts,Automotive,184,Sealed Lead Acid Battery Charger UPG D1724
11 x 4 x 11 inches,2.3 pounds,http://www.amazon.com/Deltran-Battery-Tender-021-0128-Charger/dp/B00068XCQU,$44.35,"2,753",Tools & Equipment,Automotive,185,Deltran Battery Tender (021-0128) 1.25 Amp Battery Charger
5.2 x 4.9 x 1.4 inches,0.3 ounces,http://www.amazon.com/Roadpro-Battery-Clip-On-Cigarette-Lighter/dp/B00065L2D8,$4.12,664,Replacement Parts,Automotive,175,Roadpro 12V Battery Clip-On and Cigarette Lighter Adapter
6.8 x 1.3 x 1.4 inches,1 pounds,http://www.amazon.com/PowerAll-PBJS16000R-Portable-Lithium-Starter/dp/B00OV7HKA6,$130.91,948,Tools & Equipment,Automotive,169,PowerAll PBJS16000R Rosso Red/Black Portable Power Bank and Lithium Jump Starter
2 x 3 x 26 inches,7.2 ounces,http://www.amazon.com/Rain-X-5079280-1-Latitude-Wiper-Blade/dp/B00FRHOLK6,$14.62,"1,064",Replacement Parts,Automotive,174,"Rain-X 5079280-1 Latitude Wiper Blade - 24"" (Pack of 1)"
151.2 x 134.4 x 20.4 inches,8 ounces,http://www.amazon.com/ATP-RA-31-Carbon-Activated-Premium/dp/B004A6JA2O,$14.54,231,Replacement Parts,Automotive,155,ATP RA-31  Carbon Activated Premium Cabin Air Filter
4 x 0.5 x 3 inches,12.8 ounces,http://www.amazon.com/Metra-70-1858-Radio-Wiring-Harness/dp/B0002BEX8W,$4.79,508,Replacement Parts,Automotive,303,Metra 70-1858 Radio Wiring Harness For GM 88-05 Harness
4 x 3 x 12 inches,2.1 pounds,http://www.amazon.com/Schumacher-SC-1200A-CA-SpeedCharge-Maintainer/dp/B000BQSIWK,$35.45,"1,086",Tools & Equipment,Automotive,142,Schumacher SC-1200A/CA SpeedCharge 3/6/12 Amp Charger/Maintainer/Tester
25.1 x 2.7 x 1.2 inches,3.2 ounces,http://www.amazon.com/Bosch-22A-ICON-Wiper-Blade/dp/B005JU5VH8,$17.92,"1,675",Replacement Parts,Automotive,138,"Bosch 22A ICON Wiper Blade - 22"" (Pack of 1)"
87.6 x 33.6 x 18 inches,8.8 ounces,http://www.amazon.com/ATP-AT-205-Re-Seal-Stops-Bottle/dp/B000NVW1LM,$9.67,"1,000",Replacement Parts,Automotive,112,"ATP AT-205 Re-Seal Stops Leaks, 8 Ounce Bottle"
16.3 x 14.1 x 5.1 inches,18 pounds,http://www.amazon.com/Jump-N-Carry-JNC660-1700-12-Volt-Starter/dp/B000JFJLP6,$129.71,"1,800",Tools & Equipment,Automotive,128,Jump-N-Carry JNC660 1700 Peak Amp 12-Volt Jump Starter
28.7 x 2.6 x 1.1 inches,9.6 ounces,http://www.amazon.com/Bosch-24A-ICON-Wiper-Blade/dp/B005JU5VUK,$18.44,"1,675",Replacement Parts,Automotive,109,"Bosch 24A ICON Wiper Blade - 24"" (Pack of 1)"
3.2 x 2.3 x 3.1 inches,12 ounces,http://www.amazon.com/Fram-CA10165-Extra-Guard-Filter/dp/B0019O1BS6,$8.81,117,Replacement Parts,Automotive,392,Fram CA10165 Extra Guard Rigid Panel Air Filter
8.7 x 1.5 x 8.7 inches,8.8 ounces,http://www.amazon.com/Fram-CA9997-Extra-Guard-Filter/dp/B001C6Q34S,$9.32,132,Replacement Parts,Automotive,361,Fram CA9997 Extra Guard Panel Air Filter
100 x 2 x 2 inches,10.4 ounces,http://www.amazon.com/mictuning-Wiring-Harness-ON-OFF-Rocker/dp/B00PTQOF4W,$22.90,73,Replacement Parts,Automotive,369,mictuning LED Light Bar Wiring Harness 40 Amp Relay ON-OFF Laser Rocker Switch Blue(2 Lead 12ft)
4.8 x 3.4 x 1.1 inches,0.3 ounces,http://www.amazon.com/Lifetime-Warranty-KRI%C3%8BGER%C2%AE-Technology-Motorola/dp/B011JA8BVE,$12.99,16,Replacement Parts,Automotive,368,"Lifetime Warranty - KRIÌÜGERå¨ 9.6A / 48W 4-Port USB Car Charger Smart IC Technology for iPhone, iPad Air 2, Samsung Galaxy S6 / S6 Edge, Nexus, HTC M9, Motorola, Nokia and Much More"
,0.3 ounces,http://www.amazon.com/Car-Charger-Certified-Lightning-iPhone/dp/B00SFB9B5G,$16.99,112,Portable Audio & Video,Electronics,"2,104","Car Charger - Apple MFi Certified 3.1 Amp Lightning Car Charger for iPhone, iPad and iPod - 3.3 Feet (1.0 Meters)"
6.8 x 9.8 x 4.5 inches,11.2 ounces,http://www.amazon.com/Mobil-M1-102-Extended-Performance-Filter/dp/B000CIT3N0,$9.59,103,Replacement Parts,Automotive,353,Mobil 1 M1-102 Extended Performance Oil Filter
,,http://www.amazon.com/BLACK-SHORT-UNIVERSAL-ANTENNA-CARBON/dp/B00BAZBYTU,$5.82,40,Replacement Parts,Automotive,351,ABL 3 inch / 76 mm JDM BLACK SHORT UNIVERSAL ANTENNA CARBON FIBER
2.2 x 0.7 x 22.8 inches,6.4 ounces,http://www.amazon.com/Rain-X-Weatherbeater-Wiper-Blade-Pack/dp/B0009JKI6I,$9.59,"1,481",Replacement Parts,Automotive,355,"Rain-X Weatherbeater Wiper Blade, 18"" (Pack of 1)"
,1.6 ounces,http://www.amazon.com/Charger-iClever%C2%AE-Intelligent-Aluminum-Technology/dp/B00RECUIT0,$9.99,472,Replacement Parts,Automotive,"1,961","[Smart Port Car Charger] iCleverå¨ Intelligent 3-Port 6.6A 33W Premium Aluminum USB Car Charger with SmartID Technology for iPhone 6 / 6 Plus, iPad Air 2 / Mini 3, Galaxy S6 / S6 Edge and More"
23 x 2.7 x 1.2 inches,1 pounds,http://www.amazon.com/Bosch-19B-ICON-Wiper-Blade/dp/B005JU5XE4,$16.34,624,Replacement Parts,Automotive,343,"Bosch 19B ICON Wiper Blade - 19"" (Pack of 1)"
8.5 x 5 x 5 inches,2.6 pounds,http://www.amazon.com/NOCO-GB30-UltraSafe-Lithium-Starter/dp/B00M1OUBES,$93.99,375,Tools & Equipment,Automotive,342,NOCO Genius Boost GB30 12V UltraSafe Lithium Jump Starter
,3 pounds,http://www.amazon.com/Casil-Genuine-CA1240-Alarm-Battery/dp/B004QC8WZI,$16.99,356,Replacement Parts,Automotive,"1,072",Casil Genuine CA1240 12V 4Ah SLA Alarm Battery
8.9 x 4.3 x 1.2 inches,8 ounces,http://www.amazon.com/ABN-Piece-Truck-Fuse-Assortment/dp/B00QMKYYYK,$7.99,37,Replacement Parts,Automotive,328,"ABN 120 Piece Car Truck Fuse Assortment 5,7.5,10,15,20,25,30 AMP"
13.4 x 47.2 x 15.9 inches,17.6 pounds,http://www.amazon.com/11058EX-BK-Turn-S-Tube-Entertainment-Espresso/dp/B00EDTE32K,$28.99,231,Furniture,Home & Kitchen,"1,002","FURINNO 11058EX/BK Turn-S-Tube Wide TV Entertainment Center, Espresso/Black"
,1.8 pounds,http://www.amazon.com/Simple-Deluxe-Slip-resistant-Anti-bacterial-Anti-Bacterial/dp/B011FKSE88,$9.99,3,Bath,Home & Kitchen,"2,770","Simple Deluxe Extra Long Slip-resistant Anti-bacterial Bath Mat Certificated (Anti-Bacterial Clear, 39"" X 16"")"
78 x 36 x 3 inches,21.6 pounds,http://www.amazon.com/Density-Elastic-Memory-Foam-Mattress/dp/B006FLMQ4Q,$107.51,"3,464",Furniture,Home & Kitchen,995,"Twin XL 3 Inch Thick, 4 Pound Density Visco Elastic Memory Foam Mattress Pad Bed Topper. Made in the USA"
3.2 x 11 x 3.2 inches,2.4 pounds,http://www.amazon.com/Earth-Mama-Angel-Baby-Shampoo/dp/B000JVA7UI,$25.17,221,Baby & Child Care,Health & Personal Care,"2,586",Earth Mama Angel Baby Body Wash & Shampoo Pure Castile Vanilla Orange Soap for Every Body Liter 34oz
4 x 5 x 6 inches,1.4 pounds,http://www.amazon.com/California-Baby-Calming-Shampoo-Body/dp/B0041UHVSE,$22.58,43,Baby & Child Care,Health & Personal Care,"1,530",California Baby Calming Shampoo & Body Wash - French Lavender - 19 oz
