dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
,6.4 ounces,http://www.amazon.com/SAVAGE-Stainless-Steel-Flask-RMF-09/dp/B00MFDWAM6,,4,Outdoor Recreation,Sports & Outdoors,"140,063",SAVAGE 6oz Stainless Steel Hip Flask RMF-09
3 x 3.9 x 1.6 inches,5.6 ounces,http://www.amazon.com/Savage-Stainless-Engraving-Pattern-Finished/dp/B00MFCZENE,$14.09,,Outdoor Recreation,Sports & Outdoors,"275,150",Savage 6oz Stainless Steel Engraving Pattern Hip Flask Rmf-03 Mirror Finished
,0.8 ounces,http://www.amazon.com/Compact-Portable-Bottle-Opener-Corkscrew/dp/B00X0GB4V0,$7.89,1,Outdoor Recreation,Sports & Outdoors,"129,433","Compact, Portable Beer Bottle Opener with Corkscrew for Wine Bottle and Knife"
12.5 x 7 x 1 inches,1.6 ounces,http://www.amazon.com/Texsport-Wine-Bota-2-Liter/dp/B001GRWLRG,$11.99,66,Outdoor Recreation,Sports & Outdoors,"136,122",Texsport Wine Bota - 2 Liter
,8.8 ounces,http://www.amazon.com/Marshmallow-Forks-22-long-set/dp/B001FYLHMA,$17.98,38,Outdoor Recreation,Sports & Outdoors,"112,292","Marshmallow Forks - 22"" long, set of 4"
,,http://www.amazon.com/Sea-to-Summit-Polycarbonate-Teaspoon/dp/B000JKHE4G,$4.25,1,Outdoor Recreation,Sports & Outdoors,"113,125",Sea to Summit Polycarbonate Teaspoon
,,http://www.amazon.com/Liberty-Mountain-oz-Drop-Bottle/dp/B0059QHNNW,$6.37,6,Outdoor Recreation,Sports & Outdoors,"126,930",2 oz Drop Bottle
,0.3 ounces,http://www.amazon.com/Steel-Split-Stainless-Keychain-Connectors/dp/B00QR0FE8U,$7.95,2,Outdoor Recreation,Sports & Outdoors,"108,355","25 Pack Steel Split Ring, 2.0cm x 1.7cm x .14cm, 304 Stainless Steel Split Ring, Key Ring, Keychain Keys Link Connectors, SS"
,,http://www.amazon.com/Space-Saver-Mug-Hard-Anodized/dp/B01579NM30,$13.46,7,Outdoor Recreation,Sports & Outdoors,"106,668",Space Saver Mug Hard Anodized
20 x 1 x 1 inches,2.4 ounces,http://www.amazon.com/Rome-3100-Chrome-Plated-Marshmallow-Roasting/dp/B001ASH9Q4,,131,Outdoor Recreation,Sports & Outdoors,"65,471","Rome #3100 Chrome-Plated Steel Marshmallow Roasting Sticks, Set of 2"
11.8 x 3.6 x 3.3 inches,2.9 ounces,http://www.amazon.com/GSI-Outdoors-74051-Nylon-3-Piece/dp/B00069QWR0,$10.95,2,Outdoor Recreation,Sports & Outdoors,"103,674",GSI Outdoors 74051 Nylon Ring Set (3-Piece)
,,http://www.amazon.com/Snow-Peak-Titanium-Fork-Spoon/dp/B004PH3RGI,$11.95,2,Outdoor Recreation,Sports & Outdoors,"105,815",Snow Peak Titanium Fork And Spoon Set
0.8 x 3.2 x 16 inches,11.4 ounces,http://www.amazon.com/Coghlans-Stainless-Steel-Utensil-3-Piece/dp/B00CPYH6S8,$13.99,25,Outdoor Recreation,Sports & Outdoors,"101,026",Coghlans Stainless Steel Utensil Set (3-Piece)          
,,http://www.amazon.com/GSI-Outdoors-Glacier-Stainless-Handle/dp/B00CHRT2F8,$10.95,26,Outdoor Recreation,Sports & Outdoors,"101,176",GSI Outdoors Glacier Stainless Steel Bowl With Handle
6 x 3 x 4 inches,5.6 ounces,http://www.amazon.com/Texsport-Stainless-Steel-Sierra-Cup/dp/B003SQ0ECW,$7.21,14,Outdoor Recreation,Sports & Outdoors,"99,456",Texsport Stainless Steel Sierra Cup
10 x 6 x 1.5 inches,4 ounces,http://www.amazon.com/Kenyon-Kitchen-Utensil-Set-Natural/dp/B00K3G0N30,$4.00,,Outdoor Recreation,Sports & Outdoors,"96,694","Kenyon Kitchen Utensil Set, Natural"
,,http://www.amazon.com/Barocook-Rectangular-Flameless-Cookware-System/dp/B0124LAV3I,$19.47,3,Outdoor Recreation,Sports & Outdoors,"99,293",Barocook Rectangular Flameless Cookware System
,1.6 ounces,http://www.amazon.com/Accurate-High-performing-Electronic-Thermometer-Grilling/dp/B0109186VY,$16.49,11,Outdoor Recreation,Sports & Outdoors,"91,998","Wealers Fast & Accurate High-performing Digital Electronic Barbecue Meat Thermometer, with Probe for Any Cooking Task. Oven Baking, Roast, BBQ & Grilling. Comes with Alarm and Timer."
17 x 4.5 x 1.5 inches,2.4 pounds,http://www.amazon.com/Timber-Rattler-Western-Outlaw-Bowie/dp/B001CR4AAG,$26.99,716,Sports & Fitness,Sports & Outdoors,"3,382",Timber Rattler Western Outlaw Bowie Knife
5 x 1.5 x 1.5 inches,3.2 ounces,http://www.amazon.com/Kershaw-1660CKTST-Serrated-Folding-SpeedSafe/dp/B0009VC9Z4,$46.10,209,Sports & Fitness,Sports & Outdoors,"3,612",Kershaw 1660CKTST Ken Onion Black Leek Serrated Folding Knife with SpeedSafe
,,http://www.amazon.com/Cascadian-4-Person-Table-Set/dp/B011M2PR98,$24.99,45,Outdoor Recreation,Sports & Outdoors,"90,885",Cascadian 4 Person Table Set
11 x 3 x 1 inches,1.6 ounces,http://www.amazon.com/MSR-SPORK-Spork/dp/B001QWKYN4,$8.53,19,Outdoor Recreation,Sports & Outdoors,"87,195",MSR Spork
6 x 1 x 2 inches,4.8 ounces,http://www.amazon.com/Icetek-Sports-Batman-Blade-Knife/dp/B00YJZKYVC,$9.99,30,Outdoor Recreation,Sports & Outdoors,"3,297","Icetek Sports Batman Dual Blade Knife, Black, 11.5"""
,,http://www.amazon.com/Pro-Iron-Assisted-Serrated-Survival/dp/B00P1DMQQW,$16.95,53,Sports & Fitness,Sports & Outdoors,"3,258",Set of 2 Pro Iron Assisted Opening Serrated Edge Outdoor Survival Camping Hunting Knife
6.9 x 3.8 x 2.2 inches,1.3 pounds,http://www.amazon.com/Coleman-Folding-Shovel-with-Pick/dp/B0009PUTES,$5.95,130,Outdoor Recreation,Sports & Outdoors,"3,287",Coleman Folding Shovel with Pick
10 x 10 x 5 inches,2.4 pounds,http://www.amazon.com/MSR-Alpine-4-Pot-Set/dp/B002IAJGI2,$62.42,22,Outdoor Recreation,Sports & Outdoors,"91,680",MSR Alpine 4 Pot Set
7 x 4 x 1 inches,2.8 pounds,http://www.amazon.com/Crank-Brothers-Multi-Bicycle-17-Function/dp/B001O07WK6,$25.19,204,Outdoor Recreation,Sports & Outdoors,"3,134",Crank Brothers Multi Bicycle Tool (17-Function)
,12.8 ounces,http://www.amazon.com/High-Limb-CS-48-Saw-Discontinued/dp/B0000AX849,$26.95,600,Outdoor Recreation,Sports & Outdoors,910,High Limb CS-48 Rope-and-Chain Saw (Discontinued by Manufacturer)
2.6 x 0.7 x 0.1 inches,0.3 ounces,http://www.amazon.com/Nite-Ize-KMT-01-R3-DoohicKey-Multi-Tool/dp/B00HUC2WHA,$4.96,478,Power & Hand Tools,Tools & Home Improvement,"2,300","Nite Ize KMT-01-R3 DoohicKey Keychain Multi-Tool, Black"
2 x 0.1 x 0.8 inches,3.5 ounces,http://www.amazon.com/True-Utility-TU247-KeyTool-Multitool/dp/B007IOHPEU,$4.90,136,Power & Hand Tools,Tools & Home Improvement,901,True Utility TU247 KeyTool Multitool Set
8 x 5 x 13 inches,1 pounds,http://www.amazon.com/Schrade-SCHF9-Extreme-Survival-Carbon/dp/B0033H7VI6,$36.99,839,Sports & Fitness,Sports & Outdoors,"2,132",Schrade SCHF9 Extreme Survival Knife with Fixed 1095 High Carbon Steel Blade and Black Kraton Handle and Sheath
,4.8 ounces,http://www.amazon.com/Sportsman-Pocket-Chainsaw-Starter-Survival/dp/B00GMR0MZS,$21.95,271,Power & Hand Tools,Tools & Home Improvement,890,Sportsman Pocket Chainsaw 36 Inches Long With FREE Fire Starter! This Hand Saw Tool is Best for Survival Gear - Camping - Hunting or any Outdoorsman. Replaces a Pruning or Pole Saw. Lifetime Guarantee!
2.2 x 2 x 1.2 inches,2.1 ounces,http://www.amazon.com/Leatherman-831195-Squirt-Black-Keychain/dp/B0032Y2OT6,$26.68,881,Power & Hand Tools,Tools & Home Improvement,"2,131",Leatherman 831195 Squirt PS4 Black Keychain Tool with Plier
,,http://www.amazon.com/SWISS-ARMY-Huntsman-Knife-Pouch/dp/B00YT9RCJA,$34.99,212,Power & Hand Tools,Tools & Home Improvement,"3,247",SWISS ARMY Huntsman Knife with Pouch
,,http://www.amazon.com/Metal-Practice-Butterfly-Trainer-Knife/dp/B00SIVABFC,$7.88,39,Outdoor Recreation,Sports & Outdoors,"2,931",Metal Practice Butterfly Trainer Knife
,6.4 ounces,http://www.amazon.com/BlizeTec-Survival-Knife-Magnesium-Emergency/dp/B00HESG0ZA,$38.38,755,Outdoor Recreation,Sports & Outdoors,"2,869","BlizeTec Survival Knife: Best 5-in-1 Tactical Pocket Folding Knife with LED Light, Seatbelt Cutter, Glass Breaker & Magnesium Fire Starter; A MUST HAVE Emergency Tool with Lifetime Warranty"
,9.6 ounces,http://www.amazon.com/Rothco-146-P-Nylon-Paracord/dp/B00UCWYJ8A,$9.47,"1,484",Sports & Fitness,Sports & Outdoors,"2,903",Rothco Nylon Paracord
4.8 x 4.8 x 1.2 inches,4 ounces,http://www.amazon.com/Kershaw-3650-Folding-Knife-SpeedSafe/dp/B003LNP9Y0,$16.93,230,Sports & Fitness,Sports & Outdoors,"2,706",Kershaw 3650 Volt II Folding Knife with SpeedSafe
,11.2 ounces,http://www.amazon.com/Gerber-31-000751-Survival-Ultimate-Serrated/dp/B003R0LSMO,$44.04,"1,195",Sports & Fitness,Sports & Outdoors,,Gerber Bear Grylls Ultimate Knife
2 x 1.2 x 3 inches,1.9 ounces,http://www.amazon.com/Leatherman-831192-Squirt-Keychain-Plier/dp/B0032XZW9G,$25.49,881,Power & Hand Tools,Tools & Home Improvement,"2,087",Leatherman 831192 Squirt PS4 Blue Keychain Tool with Plier
,11.4 ounces,http://www.amazon.com/Genuine-Rum-Runner%C2%AE-Smuggler-Flasks/dp/B003IZEBMW,$36.95,30,Outdoor Recreation,Sports & Outdoors,"249,075",Genuine Rum Runner® Wine Smuggler 4 32oz and 4 16oz Flasks Plus a Funnel
