dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
1.6 x 1.4 x 0.6 inches,1.6 ounces,http://www.amazon.com/HP-Original-Cartridge-CH561WN-140/dp/B003H2GBM4,,"4,770",Office & School Supplies,Office Products,12,HP 61 Black Original Ink Cartridge (CH561WN#140)
,0.6 x 8.5 x 11 inches,http://www.amazon.com/Five-Star-Reinforced-Loose-leaf-17016/dp/B002N6EB7M,$3.49,203,Office & School Supplies,Office Products,14,"Five Star Reinforced Graph Filler Paper, Graph Ruled, Loose-leaf, 11 x 8.5 Inch Sheet Size, 100 Sheets/Pack (17016)"
2.3 x 1.1 x 5.7 inches,1.6 ounces,http://www.amazon.com/Elmers-Washable-No-Run-School-E304/dp/B000Q3KHCM,$0.52,456,Office & School Supplies,Office Products,9,"Elmer's Washable No-Run School Glue, 4 oz,  1 Bottle (E304)"
3.6 x 6.9 x 0.6 inches,0.3 ounces,http://www.amazon.com/BIC-Highlighter-Chisel-Assorted-5-Count/dp/B000Q5ZGIA,$2.99,373,Office & School Supplies,Office Products,10,"BIC Brite Liner Highlighter, Chisel Tip, Assorted Colors, 5-Count"
4 x 7.4 x 0.9 inches,3.8 ounces,http://www.amazon.com/Elmers-Disappearing-Purple-School-E1560/dp/B00143UIC2,$2.29,321,Office & School Supplies,Office Products,9,"Elmer's Disappearing Purple School Glue Sticks, 0.21 oz, Pack of 6 (E1560)"
5.5 x 3.6 x 1.4 inches,3.5 ounces,http://www.amazon.com/Prismacolor-Scholar-Colored-Sharpener-1774266/dp/B004F9QBGE,$5.15,585,Office & School Supplies,Office Products,5,Prismacolor Scholar Colored Pencil Sharpener (1774266)
11.2 x 9.9 x 0.5 inches,6.4 ounces,http://www.amazon.com/Avery-Two-Pocket-Insertable-Dividers-11907/dp/B00006IBYA,$2.99,359,Office & School Supplies,Office Products,8,"Avery  Big Tab Two-Pocket Insertable Plastic Dividers, 8-Tabs, 1 Set  (11907)"
0.8 x 4.5 x 6 inches,2.4 ounces,http://www.amazon.com/Elmers-Washable-All-Purpose-School-E542/dp/B001E69WBW,$2.08,467,Office & School Supplies,Office Products,6,"Elmer's Washable All-Purpose School Glue Stick, 0.24 oz, Pack of 4 (E542)"
10.5 x 0.6 x 8 inches,1.4 pounds,http://www.amazon.com/Mead-Filler-Paper-Sheets-15200/dp/B00005C55O,$3.06,285,Office & School Supplies,Office Products,3,"Mead Filler Paper, Loose Leaf Paper, Wide Ruled, 200 Sheets/Pack (15200)"
6.1 x 0.7 x 3.2 inches,5.6 ounces,http://www.amazon.com/Texas-Instruments-Scientific-Calculator-Accents/dp/B00000JBNX,$8.88,"1,519",Office Electronics,Office Products,4,"Texas Instruments TI-30X IIS 2-Line Scientific Calculator, Black with Blue Accents"
11.8 x 9.2 x 6.2 inches,15.2 pounds,http://www.amazon.com/Spectrum%C2%AE-Standard-Multipurpose-Inches-998606/dp/B00BB5DJU6,$14.99,"2,458",Office & School Supplies,Office Products,7,"GP Spectrum® Standard 92 Multipurpose Paper, 8.5 x 11 Inches, 1 box of 3 packs (1500 Sheets) (998606)"
8.5 x 0.9 x 3 inches,4.8 ounces,http://www.amazon.com/Dixon-Ticonderoga-Wood-Cased-Pre-Sharpened-13830/dp/B006CSPZK4,$5.97,329,Office & School Supplies,Office Products,2,"Dixon Ticonderoga Wood-Cased #2 HB Pencils, Pre-Sharpened, Box of 30, Yellow (13830)"
0.6 x 3.2 x 6.1 inches,1.6 ounces,http://www.amazon.com/Paper-Mate-Premium-Erasers-70501/dp/B00006IFAQ,$1.99,453,Office & School Supplies,Office Products,1,"Paper Mate Pink Pearl Premium Erasers, 3 Pack, Large (70501)"
1.1 x 6.1 x 2.4 inches,1.6 ounces,http://www.amazon.com/Paper-Mate-Sharpwriter-Mechanical-3030131/dp/B00006IEE4,$2.99,384,Office & School Supplies,Office Products,59,"Paper Mate Sharpwriter 0.7mm Mechanical Pencils, 12 Yellow Pencils (3030131)"
1.3 x 4.1 x 7.5 inches,0.3 ounces,http://www.amazon.com/BIC-Sparkle-colorful-barrels-24-Count/dp/B0007L1VLO,$7.00,812,Office & School Supplies,Office Products,58,"BIC Pencil Xtra Sparkle (colorful barrels), Medium Point (0.7 mm), 24-Count"
2 x 3.6 x 5.5 inches,2.1 ounces,http://www.amazon.com/Sanford-1786520-Prismacolor-Premier-Sharpener/dp/B004ZDL0K2,$4.81,700,Office & School Supplies,Office Products,56,Prismacolor Premier Pencil Sharpener
0.7 x 2.1 x 7.1 inches,1.1 ounces,http://www.amazon.com/Sharpie-Permanent-Markers-Point-30162PP/dp/B000QYLCWK,$1.64,"1,222",Office & School Supplies,Office Products,57,"Sharpie Permanent Markers, Fine Point, Black, 2 Pack (30162PP)"
6.5 x 0.7 x 3 inches,3.8 ounces,http://www.amazon.com/Texas-Instruments-Plus-Financial-Calculator/dp/B00000JZKB,$28.63,"1,120",Office Electronics,Office Products,54,Texas Instruments BA II Plus Financial Calculator
12.2 x 1.1 x 0.2 inches,0.3 ounces,http://www.amazon.com/Westcott-Punched-English-Metric-Inches/dp/B0006OKGY0,$1.29,56,Office & School Supplies,Office Products,55,"Westcott Hole Punched Wood Ruler English and Metric With Metal Edge, 12 Inches"
11.9 x 9.8 x 1.6 inches,0.3 ounces,http://www.amazon.com/Avery-Economy-Clear-Protectors-75091/dp/B00006IC89,$9.99,546,Office & School Supplies,Office Products,53,"Avery Economy Clear Sheet Protectors, Acid Free, Box of 100 (75091)"
